Event Id,Event Time,Event Name,Risk Rating,Details,Source IP Address,AWS Region,Event Source,User Identity Type,Reason
21acd1b6-f59f-4546-ab52-b892bc808629,2024-09-27T11:07:55.428Z,PutMetricData,Medium,{},10.0.0.111,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
804c6691-b868-4bae-83dd-d814efcd1f92,2024-09-26T00:44:21.701Z,RunInstances,Medium,"{""instancesSet"":{""items"":[{""instanceId"":""prod-d61477lq""}]}}",65.43.21.37,us-east-1,ec2.amazonaws.com,IAMUser,"MEDIUM RISK: IP address is outside the allowed ranges MEDIUM RISK: IP address is outside the allowed ranges, MEDIUM RISK: Event using unapproved service: ec2.amazonaws.com,"
07383a96-1c0f-4f2d-a00d-e2b4e52bb817,2024-09-26T12:07:37.414Z,PutMetricData,Medium,{},192.168.1.173,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
1944a8cb-c338-45b3-96f6-c0eec540e699,2024-09-26T05:16:08.587Z,PutMetricData,Medium,{},192.168.1.199,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
6ac228b5-95f9-446b-a635-a4575c186b34,2024-09-25T19:11:44.876Z,CopyObject,Medium,"{""bucketName"":""prod-quasi"",""key"":""awesome_concrete.sit""}",54.32.10.24,us-east-1,s3.amazonaws.com,IAMUser,"MEDIUM RISK: IP address is outside the allowed ranges MEDIUM RISK: IP address is outside the allowed ranges,"
254390d8-a941-42ab-95e6-0515ab2d8b6d,2024-09-27T09:14:19.838Z,GetMetricData,Medium,{},192.168.1.193,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
b512f6db-3337-4bad-b5db-cd8d175f6e17,2024-09-25T16:23:59.902Z,PutMetricData,Medium,{},10.0.0.244,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
70af7b18-4300-449c-a11a-ebd57c9ba48a,2024-09-27T02:33:19.531Z,PutMetricData,Medium,{},192.168.1.242,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
3a874db4-fb37-4d06-81b6-c7257d7480bd,2024-09-26T01:48:52.156Z,PutMetricData,Medium,{},10.0.0.80,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
64c1cfdb-b298-442c-9dbd-8407dc46d91f,2024-09-25T22:03:32.010Z,PutMetricData,Medium,{},192.168.1.4,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
17ea6a41-ee91-4cbe-abe4-fdd2abad2c12,2024-09-26T04:58:55.873Z,TerminateInstances,Medium,"{""instancesSet"":{""items"":[{""instanceId"":""prod-h3mdy4vm""}]}}",54.32.10.10,us-east-1,ec2.amazonaws.com,IAMUser,"MEDIUM RISK: IP address is outside the allowed ranges MEDIUM RISK: IP address is outside the allowed ranges, MEDIUM RISK: Event using unapproved service: ec2.amazonaws.com,"
92f645b3-faa6-4745-80b8-d712fea69d98,2024-09-25T17:35:12.147Z,PutMetricData,Medium,{},10.0.0.143,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
5ec57994-173c-4648-81f2-3ddb128a9663,2024-09-27T06:12:23.415Z,GetMetricData,Medium,{},10.0.0.82,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
3e290ebc-3d87-4d9c-ab4c-62758f5ab472,2024-09-26T13:11:07.205Z,DeleteObject,High,"{""bucketName"":""prod-veritatis"",""key"":""cambridgeshire_sleek.log""}",102.54.32.143,us-east-1,s3.amazonaws.com,IAMUser,"HIGH RISK: Manual Deletion may have occurred; investigation required, MEDIUM RISK: IP address is outside the allowed ranges MEDIUM RISK: IP address is outside the allowed ranges, Deletion or modification of production resource HIGH RISK: Deletion or modification of production resource; review required,"
88391b54-90da-4029-a1b8-572f379bf44d,2024-09-25T13:11:08.028Z,PutMetricData,Medium,{},10.0.0.70,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
256f012d-a7b6-4a4b-a6e7-bab9810c1019,2024-09-26T11:59:02.287Z,GetMetricData,Medium,{},10.0.0.83,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
f0581b7f-1b05-4126-9427-b44cf0fa1ad3,2024-09-26T19:10:12.591Z,GetMetricData,Medium,{},192.168.1.90,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
6530872e-c9ff-4d56-9dc3-53fedd6ef1dc,2024-09-26T15:04:36.793Z,CopyObject,Medium,"{""bucketName"":""prod-delectus"",""key"":""groupware.mxu""}",102.54.32.71,us-east-1,s3.amazonaws.com,IAMUser,"MEDIUM RISK: IP address is outside the allowed ranges MEDIUM RISK: IP address is outside the allowed ranges,"
8e6074e8-af01-466c-a4a5-9285d601d290,2024-09-27T04:27:07.970Z,PutMetricData,Medium,{},10.0.0.40,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
3cf244a6-1c39-4698-b4b4-482c7cf40fbf,2024-09-26T12:45:21.839Z,PutMetricData,Medium,{},192.168.1.160,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
c3e06e3e-9642-4282-a74c-18f87443c67b,2024-09-26T14:34:44.582Z,GetMetricData,Medium,{},10.0.0.238,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
3d9ba563-4b06-4659-b94b-a75924e748f9,2024-09-26T20:32:10.461Z,PutUserPolicy,High,{},102.54.32.172,us-east-1,iam.amazonaws.com,IAMUser,"MEDIUM RISK: IP address is outside the allowed ranges MEDIUM RISK: IP address is outside the allowed ranges, MEDIUM RISK: Event using unapproved service: iam.amazonaws.com, User has made changes to IAM policies HIGH RISK: User has made changes to IAM policies: alice,"
f1498863-79a6-41e8-aeee-94e46b6408dd,2024-09-25T15:38:51.789Z,PutMetricData,Medium,{},192.168.1.33,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
0bb58dfa-4887-49eb-a7bb-4868b52466bf,2024-09-26T10:45:49.529Z,GetMetricData,Medium,{},192.168.1.106,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
eb6bf19f-8f1c-4dc8-9540-6778c7c30831,2024-09-27T06:50:31.944Z,GetMetricData,Medium,{},10.0.0.155,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
221504f6-8125-4b02-9e7e-19f56bb03aec,2024-09-26T19:59:51.160Z,GetSecretValue,Medium,"{""secretId"":""prod-dolor""}",41.219.220.154,us-east-1,secretsmanager.amazonaws.com,IAMUser,"MEDIUM RISK: IP address is outside the allowed ranges MEDIUM RISK: IP address is outside the allowed ranges,"
73e20073-348a-4ec5-babb-af5c97d5884f,2024-09-25T20:29:57.475Z,PutMetricData,Medium,{},192.168.1.208,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
612f7160-d876-4ef2-b67b-7f68d7333371,2024-09-26T08:02:35.223Z,PutMetricData,Medium,{},10.0.0.117,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
462b3f8f-405f-47b1-95b6-7ad437b4d9ce,2024-09-27T10:08:31.242Z,PutMetricData,Medium,{},192.168.1.247,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
31484589-1178-4b8f-be10-52aa3bb08f17,2024-09-27T04:46:56.406Z,CreateUser,Medium,{},65.43.21.137,us-east-1,iam.amazonaws.com,IAMUser,"MEDIUM RISK: IP address is outside the allowed ranges MEDIUM RISK: IP address is outside the allowed ranges, MEDIUM RISK: Event using unapproved service: iam.amazonaws.com,"
7cd71eb4-2526-408c-99de-0e1f38dff1df,2024-09-25T14:06:27.233Z,PutMetricData,Medium,{},192.168.1.186,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
661ced16-2986-478d-a211-277d6ff56100,2024-09-26T03:58:53.877Z,PutMetricData,Medium,{},192.168.1.168,us-east-1,monitoring.amazonaws.com,IAMUser,"Event using unapproved service MEDIUM RISK: Event using unapproved service: monitoring.amazonaws.com,"
